avatar_id,tag,stat_id,multiplier,note
alter_mann,regelstrikt,sch_vert,1.2,bekraeftigt Erwartungshaltung
alter_mann,improvisieren,sch_vert,-0.3,wirkt unprofessionell
alter_mann,framen_potenzial,ag_bet,0.8,wird leicht naiv gelesen
alter_mann,framen_struktur,sch_vert,1.2,wirkt erfahrungsbasiert
alter_mann,prio_sichtbarkeit,sch_rep,1.2,Autoritaet verstaerkt
frau_migration,regelstrikt,sch_vert,-0.5,Vorzeichen-Kippung
frau_migration,improvisieren,sch_vert,1.5,Penalty verstaerkt
frau_migration,framen_struktur,sch_vert,1.5,Strukturkritik unbequemer
frau_migration,framen_struktur,sch_norm,1.3,
frau_migration,prio_sichtbarkeit,sch_vert,-0.3,zu auffaellig
frau_migration,prio_sichtbarkeit,sch_rep,0.6,kommt nicht voll an
frau_migration,adressieren_direkt,ag_bet,1.4,hoehere Resonanz
frau_migration,unterstuetzen_aktiv,ag_anerk,1.2,erfahrungsnah gelesen
alter_mann,anerkennung_einfordern,sch_vert,0.6,geringere Vertrauensstrafe weil direktes Einfordern eher als legitime professionelle Klarstellung gelesen wird
alter_mann,anerkennung_einfordern,sch_norm,0.8,Normbruch wird schwächer sanktioniert weil Autoritaet und institutionelle Passung zugeschrieben werden
alter_mann,struktur_sichtbar_machen,sch_vert,0.8,Strukturanalyse irritiert weniger weil sie eher als erfahrungsbasierte Einordnung gilt
frau_migration,anerkennung_einfordern,sch_vert,1.6,staerkere Vertrauensstrafe weil Anerkennungseinfordern schneller als unangemessen oder emotional gelesen wird
frau_migration,anerkennung_einfordern,ag_anerk,1.3,AG-Mitglieder lesen das Einfordern eher als sichtbare Selbstbehauptung gegen Abwertung
frau_migration,struktur_sichtbar_machen,sch_vert,1.4,Strukturanalyse wird institutionell unbequemer gelesen und kostet daher mehr Vertrauen
frau_migration,struktur_sichtbar_machen,ag_anerk,1.2,AG-Mitglieder erkennen eher dass Bedingungen statt individuelle Defizite sichtbar gemacht werden
frau_migration,selbstanpassung,sch_vert,1.4,institutionelle Akzeptanz steigt staerker wenn Kritik selbstdisziplinierend aufgenommen wird
frau_migration,selbstanpassung,ag_anerk,1.4,Anerkennung in der AG sinkt staerker weil Selbstanpassung als Rueckzug aus solidarischer Position lesbar wird
